,000032.SH,000033.SH,000034.SH,000035.SH,000036.SH,000037.SH,000038.SH,000039.SH,000040.SH,000041.SH,H00032.SH,H00033.SH,H00034.SH,H00035.SH,H00036.SH,H00037.SH,H00038.SH,H00039.SH,H00040.SH,H00041.SH
2009/1/12,1727.01,1281.3,1591.43,1149.81,2469.13,1822.58,2153.13,1257.08,1504.65,1450.84,0,0,0,0,0,0,0,0,0,0
2009/1/13,1715.86,1300.27,1590.85,1169.76,2488.0,1829.9,2147.23,1276.01,1486.21,1459.44,0,0,0,0,0,0,0,0,0,0
2009/1/14,1667.97,1273.8,1551.21,1151.48,2407.01,1774.56,2105.18,1241.02,1437.76,1423.89,0,0,0,0,0,0,0,0,0,0
2009/1/15,1750.08,1329.63,1607.21,1184.69,2463.77,1817.24,2226.05,1293.7,1445.18,1465.56,0,0,0,0,0,0,0,0,0,0
2009/1/16,1739.64,1334.24,1614.49,1196.73,2456.65,1814.1,2217.07,1328.49,1482.54,1466.16,0,0,0,0,0,0,0,0,0,0
2009/1/19,1775.22,1351.27,1628.8,1212.08,2506.71,1818.74,2275.33,1343.77,1505.83,1495.85,0,0,0,0,0,0,0,0,0,0
2009/1/20,1799.97,1360.71,1638.49,1210.85,2489.74,1797.45,2325.44,1344.69,1517.81,1503.27,0,0,0,0,0,0,0,0,0,0
2009/1/21,1809.35,1379.29,1642.01,1215.99,2506.13,1827.45,2348.38,1350.88,1510.1,1507.19,0,0,0,0,0,0,0,0,0,0
2009/1/22,1798.08,1372.67,1635.38,1213.88,2487.05,1826.33,2358.97,1342.02,1486.49,1490.77,0,0,0,0,0,0,0,0,0,0
2009/1/23,1864.16,1405.04,1661.63,1221.59,2501.09,1865.83,2363.32,1361.9,1504.89,1502.41,0,0,0,0,0,0,0,0,0,0
2009/2/2,1845.82,1399.63,1643.26,1208.02,2499.35,1843.09,2346.32,1362.14,1538.26,1495.47,0,0,0,0,0,0,0,0,0,0
2009/2/3,1853.84,1436.32,1680.25,1254.69,2569.92,1867.56,2346.49,1407.1,1547.49,1556.67,0,0,0,0,0,0,0,0,0,0
2009/2/4,1885.7,1478.23,1732.67,1287.29,2636.2,1890.76,2405.25,1452.24,1566.68,1598.95,0,0,0,0,0,0,0,0,0,0
2009/2/5,1913.87,1522.63,1755.01,1317.82,2700.73,1909.48,2501.48,1492.63,1612.63,1618.79,0,0,0,0,0,0,0,0,0,0
2009/2/6,1916.39,1504.89,1740.36,1298.3,2674.16,1866.67,2488.8,1462.68,1606.96,1601.2,0,0,0,0,0,0,0,0,0,0
2009/2/9,1992.64,1575.12,1795.75,1367.22,2779.23,1915.15,2581.65,1540.12,1681.78,1663.61,0,0,0,0,0,0,0,0,0,0
2009/2/10,2056.88,1646.63,1855.68,1412.03,2874.59,1972.31,2607.02,1573.29,1704.79,1698.28,0,0,0,0,0,0,0,0,0,0
2009/2/11,2096.39,1682.65,1888.62,1448.26,2912.52,2022.34,2601.92,1619.41,1725.26,1707.97,0,0,0,0,0,0,0,0,0,0
2009/2/12,2066.62,1682.36,1895.06,1443.15,2918.21,2025.47,2614.0,1606.36,1771.75,1734.64,0,0,0,0,0,0,0,0,0,0
2009/2/13,2009.78,1669.25,1895.77,1495.24,2940.4,2074.29,2562.12,1643.15,1789.85,1735.86,0,0,0,0,0,0,0,0,0,0
2009/2/16,2069.64,1727.87,1975.7,1553.15,3024.63,2123.56,2645.28,1697.19,1838.18,1791.19,0,0,0,0,0,0,0,0,0,0
2009/2/17,2151.63,1801.25,2006.38,1564.43,3064.77,2130.07,2747.89,1724.17,1893.62,1826.26,0,0,0,0,0,0,0,0,0,0
2009/2/18,2103.26,1760.87,1925.96,1490.8,2988.46,2085.32,2657.82,1657.54,1807.62,1795.01,0,0,0,0,0,0,0,0,0,0
2009/2/19,1960.65,1671.14,1842.14,1439.53,2884.36,2038.03,2529.53,1582.28,1710.15,1691.87,0,0,0,0,0,0,0,0,0,0
2009/2/20,1975.65,1704.84,1876.53,1458.33,2932.62,2073.71,2514.72,1616.41,1737.99,1741.34,0,0,0,0,0,0,0,0,0,0
